LATITUDE,LONGITUDE,DATE,SPECIES_SCIENTIFIC,DATASET
-34.75,21.39999962,07/09/1992,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.75,21.58329964,25/05/1990,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.73329926,20.18330002,22/04/1995,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.73329926,20.33329964,01/09/1993,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.73329926,20.73329926,14/06/1991,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.73329926,21.25,07/09/1992,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.73329926,21.35000038,13/05/1988,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.73329926,21.5,25/05/1990,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.71670151,21.25,29/09/1986,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.70000076,21.13330078,18/04/1992,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.69,20.204,04/05/2015,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.689,20.235,07/07/2011,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.689,20.235,04/06/2016,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.68330002,20.64999962,08/09/1993,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.68330002,20.93330002,27/09/1994,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.68330002,21.25,29/09/1986,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.68330002,21.25,11/09/1993,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.68330002,21.26670074,15/06/1991,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.66669846,20.54999924,27/09/1994,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-34.66669846,21.2166996,24/05/1990,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
